Ragione sociale;ID;Indirizzo sede legale - Regione;ROA;EBITDA/V;ILG;CCN/ATT;IND_FIN;INT_TERZI
TOMORROWDATA S.R.L.;ID37_20;Toscana;-0.005398136;0.006638444;5.249522901;0.620552717;0.43755557;0.944147756
MANIGI S.R.L.;ID38_20;Marche;0.268264128;0.281951774;1.480294238;0.291308351;0.279562591;0.391999402
CHIRON SRL;ID39_20;Toscana;0.121200296;0.210885953;0.563183567;-0.239565053;0.317009031;0.505290544
SIMILU' S.R.L.;ID40_20;Lombardia;-0.423542789;-1.086294987;4.374222916;0.332383317;0.340384931;0.653224167
EFFICIAM S.R.L.;ID41_20;Veneto;0.500390459;0.354887638;2.929732458;0.635062325;0.38459579;0.672766019
MEDIAMATIC S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE LEGGE 24 GENNAIO 2015. N. 3;ID42_20;Lombardia;0.13579351;0.913509364;1.063399569;0.054026976;0.130869534;0.153572764
QUARZIO S.R.L. START-UP COSTITUITA A NORMA DELL'ART.4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N.3;ID43_20;Sicilia;-0.067058511;-0.045544498;5.885891213;0.598589297;0.87748616;7.162343096
NEXTREE S.R.L.;ID44_20;Lombardia;0.090834439;0.247040425;0.826853355;-0.071742044;0.406421918;0.725703173
NOISEFEED S.R.L.;ID45_20;Liguria;-0.048728783;0.1382192;10.58153477;0.669577021;0.656996342;1.998165151
VENDI24 S.R.L.;ID46_20;Emilia-Romagna;0.065026583;0.305641294;2.089281451;0.513909224;0.112894345;0.1723601
UPMEDIA! SRL;ID47_20;Lombardia;0.00497397;0.16255508;1.622556648;0.146403834;0.550224928;1.249860608
MEBLABS S.R.L.;ID48_20;Marche;0.005492437;0.023105207;7.8192259;0.759404819;0.838414864;7.528712245
TXT RISK SOLUTIONS S.R.L.;ID49_20;Lombardia;-1.405736148;-4.612376366;0.432489239;-1.30548654;-1.315294744;-0.571774505
BANKSEALER S.R.L.;ID50_20;Lombardia;0.06359268;0.670599866;0.61354656;-0.222902561;0.225870766;0.391599515
AC TECHNOLOGY SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;ID51_20;Calabria;0.149121216;0.170236964;2.514545317;0.568079242;0.513033436;1.146821249
ELAISIAN SOCIETA' A RESPONSABILITA' LIMITATA;ID52_20;Lazio;-1.078530363;-1.724567993;1.186272049;0.060976826;-0.111631428;-0.112181113
ESPLORAVINO S.R.L.;ID53_20;Piemonte;-0.031916605;-0.076038376;1.907974057;0.305928127;0.395641851;0.675554291
OPTIMIST S.R.L.;ID54_20;Lazio;0.01531352;0.025733873;3.538370678;0.691454925;0.640422379;2.351027275
SMART - STRATEGY MARKETING TECHNOLOGY S.R.L.;ID55_20;Emilia-Romagna;0.062465432;0.086861427;1.598618878;0.318633072;0.46771964;0.878709182
DGLEN S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N. 3;ID56_20;Lombardia;0.005082054;0.027299067;2.069670935;0.48009429;0.55105931;1.227784082
BCK SOLUTIONS S.R.L.;ID57_20;Campania;-0.092394896;-0.236740468;3.078881325;0.471776565;0.213481138;0.29806298
LABTEQ S.R.L.;ID58_20;Abruzzo;0.013665183;0.052136992;8.356937389;0.798105077;0.250755247;0.334760411
VRZONE S.R.L.;ID59_20;Lombardia;-0.337197964;-0.979892096;1.115602182;0.043807725;0.076968647;0.093232697
WEEDEA S.R.L.;ID60_20;Umbria;0.014867722;0.062492094;1.422866549;0.246484992;0.265501167;0.38566302
REALER S.R.L.;ID61_20;Trentino-Alto Adige;0.036333474;0.075356759;1.405487101;0.250779929;0.381534138;0.61690412
HUMAN FACTOR & INNOVATION S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N. 3;ID62_20;Lombardia;0.089118469;0.306948505;1.281500952;0.191040039;0.305408109;0.45002437
NCS NETWORK COMMERCIAL SYSTEMS S.R.L.;ID63_20;Lazio;-0.191819544;-0.245135684;0.339345622;-0.1126253;0.161238546;0.239681509
SPORTITUDO S.R.L.;ID64_20;Lombardia;-0.094371486;0.268455181;1.148414606;0.061680695;0.156897372;0.188277263
INNERVOID INTERACTIVE SOCIETA' A RESPONSABILITA' LIMITATA;ID65_20;Sicilia;0.355771238;0.962691016;5.699191556;0.434247115;0.382662696;0.779792363
ART BACKERS S.R.L.;ID66_20;Sardegna;0.0022068;0.346124985;12.95409165;0.601745173;0.925823166;12.94332535
FREETALY S.R.L. - IN LIQUIDAZIONE;ID67_20;Lombardia;-0.372966173;-0.57517636;4.903769362;0.444612701;0.590276424;4.783677602
INVENTERIA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;ID68_20;Calabria;0.027649451;0.036369231;1.134613263;0.11864242;0.073057473;0.082891978
FOXWIN S.R.L. - SOCIETA' BENEFIT;ID69_20;Friuli-Venezia Giulia;-0.229226712;-0.160775982;2.796321807;0.358354775;0.673758232;2.325346201
INTRIBE SOCIETA' BENEFIT SRL O IN FORMA ABBREVIATA INTRIBE SB SRL;ID70_20;Lombardia;-0.410520706;-1.074575736;1.693918998;0.13358601;0.31056009;0.466054726
EYES VISION S.R.L.;ID71_20;Trentino-Alto Adige;-0.064364188;0.521838529;2.110181969;0.169684499;0.308592549;0.625344246
HERO S.R.L.;ID72_20;Puglia;0.181561366;0.422508268;1.494761638;0.196651651;0.216588534;0.280236863
ARTERNATIVE S.R.L.;ID73_20;Emilia-Romagna;0.069201008;0.063488697;4.577899395;0.693330024;0.367119455;0.596582576
COZILY S.R.L. START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N. 3;ID74_20;Lombardia;-0.012071943;0.153276104;0.738112076;-0.13150755;0.18294294;0.241401286
TO BE SRL;ID75_20;Marche;0.135059786;0.450518521;2.758331682;0.433706751;0.673576288;2.604693872
DATASOIL S.R.L.;ID76_20;Veneto;-0.102009066;-0.105189457;1.934721286;0.458159482;0.460643361;0.939788812
CHEMPARSER S.R.L.;ID77_20;Lombardia;0.037993146;0.231986111;0.375167533;-0.379571632;0.356687691;0.587162029
EMERSUM SOCIETA' A RESPONSABILITA' LIMITATA;ID78_20;Lazio;0.083020259;0.131219602;1.350905877;0.177643058;0.268019328;0.367177444
INNOVA WARE SRL;ID79_20;Calabria;0.140035374;0.675344828;20.19102477;0.910186911;0.715472849;13.69172419
ESSE I SOLUTIONS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;ID80_20;Calabria;0.001475433;0.001226885;3.426834564;0.596478122;0.459018143;1.26110541
THE CIRCLE SRL;ID81_20;Abruzzo;-0.177317052;-1.049970328;0.485853289;-0.119843958;0.099386113;0.11225823
YTD S.R.L.;ID82_20;Veneto;-0.271562175;-0.324011299;1.342083661;0.20840583;0.265177483;0.435270377
IMMERSIO S.R.L.;ID83_20;Emilia-Romagna;-0.032881662;-0.00610143;1.197632909;0.128247495;0.252999444;0.338736035
LEVEL UP S.R.L.;ID84_20;Trentino-Alto Adige;0.155196099;0.250959262;2.236391991;0.386218276;0.232010686;0.302101451
COMWORK S.R.L. - IMPRESA SOCIALE;ID85_20;Lombardia;-0.109091504;-0.841900041;0.577342097;-0.132584964;0.13226007;0.181943149
REDEM S.R.L.;ID86_20;Campania;0.037160247;0.181275618;3.127644987;0.559526124;0.257605379;0.346992519
DEESCOVERY S.R.L.;ID87_20;Emilia-Romagna;0.08073231;0.069741986;2.634566507;0.610387556;0.231109939;0.300576053
SOFTHINGS S.R.L.;ID88_20;Puglia;0.087391892;0.183416031;42.27382646;0.743720203;0.674437381;37.42887624
EDUCABILE S.R.L.;ID89_20;Campania;0.097746476;0.152581621;1.531418554;0.295737656;0.443493922;0.796925566
MERITS S.R.L. SB;ID90_20;Lombardia;0.145048722;0.731908777;1.936585721;0.390029006;0.384233888;0.642421788
ARKELYA S.R.L.;ID91_20;Marche;0.434089579;0.432168439;3.543186583;0.713896191;0.719271058;2.562334032
WEEE S.R.L.;ID92_20;Lombardia;-0.759570666;-0.581146606;0.210669995;-0.646645367;0.180766773;0.220653615
ESIMPLE TECH S.R.L.;ID93_20;Toscana;0.196235558;0.486759962;0.891602098;-0.116183965;-0.095149215;-0.088772795
ORTHOGETHER S.R.L.;ID94_20;Lombardia;-0.190127693;0.307622101;0.09614515;-0.214004236;0.754861893;3.188187283
SENTETIC S.R.L.;ID95_20;Umbria;-0.064958824;-0.348097928;4.205618564;0.683320099;0.039971272;0.041635496
